product_name,product_brand,product_type,product_rating,product_price
Seagate Hard Drive Backup Plus Slim 500gb Portable Storage,Seagate,External Hard Drives,4.4,19499
Seagate Backup Plus Slim 1TB Portable Storage,Seagate,External Hard Drives,4.5,19000
SanDisk 32GB Ultra OTG Dual USB Flash Drive 3.0,SanDisk,USB Flash Drives,4,2650
Hp 32GB Pendrive Flash Drive USB 2.0,Hp,USB Flash Drives,4.2,2550
2.4G Wireless Mouse Portable Ultra-thin Mute Mouse 4 Keys,2.4G,Mice,4.1,1521
Hp Deskjet 2548 Wireless All-in-One Printer With Free Printer Usb Cable,Hp,Inkjet Printers,4.4,14500
Eaget U96 64GB USB 3.0 Metal OTG Flash Drive,Eaget,USB Flash Drives,4.2,2900
M40 Ultra-thin Wireless Mouse 2.4G Rechargeable Wireless,M40,Mice,4.6,5735
SanDisk 64GB Cruzer USB 2.0 Flash Drive,SanDisk,USB Flash Drives,4,2850
FileKing 64GB USB OTG Flash Drive For Android & Computers - Purple,FileKing,USB Flash Drives,4,3650
SanDisk 64GB Ultra OTG Dual USB Flash Drive 3.0,SanDisk,USB Flash Drives,4.2,3999
FileKing 64GB USB OTG Flash Drive For Android & Computers - Black,FileKing,USB Flash Drives,4.4,3750
FileKing 32GB USB OTG Flash Drive For Android & Computers - Purple,FileKing,USB Flash Drives,4.3,2550
Ultra-thin Mini 2.4G Wireless Mouse With USB Adapter - Black,,Mice,3.8,1850
For Huawei MateBook X Pro Shockproof Frosted Laptop Protective Case (Black),Huawei,"Bags, Cases & Sleeves",,3170
2.4G Wireless Business Gaming Mouse/Mice Portable 2400DPI,2.4G,Mice,4.3,2314
Eaget U96 32GB USB 3.0 Metal OTG Flash Drive,Eaget,USB Flash Drives,4.2,1990
Wireless Touchpad Keyboard With Backlight - Black,,Keyboards,4.1,2800
"Hp DESKJET 2620 WIRELESS  PRINTER REPLACEMENT HP 2710- PRINT,SCAN & PHOTOCOPY(HP 2710)",Hp,Inkjet Printers,4.3,16950
Flexible USB External Keyboard - Black,,Keyboards,4.1,2250
Seagate Backup Plus Slim 1TB Portable Storage Drive,Seagate,External Hard Drives,4.6,19000
Hp 64GB Pendrive Flash Drive,Hp,USB Flash Drives,3.5,2950
FileKing 32GB USB OTG Flash Drive For Android & Computers - Red,FileKing,USB Flash Drives,4.5,2450
3200 DPI 7 Button 7D LED Optical USB Wired Gaming Mouse,,Mice,4.6,2325
"Canon Pixma TS3140 AIO Wireless Printer Print, Scan & Copy - Black",Canon,Inkjet Printers,4,15450
SanDisk 32GB Cruzer USB 2.0 Flash Drive,SanDisk,USB Flash Drives,4.4,2950
Berjalan 32GB High Speed Memory Card Micro SD Class10 TF Card,Berjalan,USB Flash Drives,4.2,1330
FileKing 64GB USB OTG Flash Drive For Android & Computers - Blue,FileKing,USB Flash Drives,4.3,3590
USB 2.0 50.0M HD Webcam Camera Web Cam With Microphone MIC,,Webcams,3.9,3536
Goojprt 58MM Bluetooth Thermal Printer Portable Receipt Machine-orange Red,Goojprt,Label Printers,4.3,14299
"Imose Zedon X4 11.6 Inch Laptop, 2GB RAM, 32GB SSD, Intel Celeron, Licensed Windows 10",Imose,Laptops,3.9,78000
Yvonne Metal USB Flash Drive Drive 32G Memory,Yvonne,USB Flash Drives,4.3,2200
Dolphin Wills Rechargeable Wireless Mouse - No Need For Battery Again,Dolphin Wills,Mice,4.6,3689
Lenovo Ideapad Intel Core I3 (8GB/1TB) Wins 10+ Free Bag,Lenovo,Laptops,4.5,205000
SanDisk 64GB Ultra OTG Dual USB Flash Drive 3.0,SanDisk,USB Flash Drives,4.3,4990
Transcend 1TB USB 3.1 StoreJet Shock Resistant Portable Hard Drive,Transcend,External Hard Drives,4.5,27900
Maikou 3-In-1 Type-C USB3.0 Micro-B USB3.0 Flash Memory USB Stick Flash OTG U Disk,Maikou,USB Flash Drives,4.4,2100
Mtk 10.1 Inch Android 6.0 Netbook A33 Mini Laptop,Mtk,Laptops,2,52249
USB BT Dongle BT Adapter BT CSR4.0 Dongle Audio Receiver,,Bluetooth Network Adapters,3.8,1310
Haoba 64GB OTG Flash Drive For Android Phones And Computers,Haoba,USB Flash Drives,3.9,3399
HP External 8TB Drive HDD Mobile Disk Box USB 2.0 Portable Laptop SATA 2.5 Inch,,External Hard Drives,1,2670
Lenovo 15.6 Laptop Backpack B210,Lenovo,"Bags, Cases & Sleeves",4.3,4800
Ultra Thin 2.4GHz Wireless Keyboard And Mouse Kit Combo,,Keyboards,4.4,3900
HD 1080P 12MP USB Webcam Camera W/ MIC Clip-on Laptop Skype,,Webcams,3.9,3990
TopMate Topmate C5 Gaming Laptop Cooler Cooling Pad,TopMate,Fans & Cooling,4.3,8599
Samsung 64GB Pendrive Flash Drive USB 3.0,Samsung,USB Flash Drives,3.5,3990
Western Digital 1TB External Hard Drive With Nigeria Warranty,Western Digital,External Hard Drives,4.4,20900
SanDisk 32GB Stainless Steel USB Flash Drive CZ74,SanDisk,USB Flash Drives,4.7,2350
Canon Pixma TS3140 Wireless Printer + Free A4Paper + Printer Cable,Canon,Inkjet Printers,4.4,16990
Bestrunner 32GB USB Flash Drive With OTG For Phone/PC-Black,Bestrunner,USB Flash Drives,,2100
Bluetooth Wireless Joystick Pad Game Controller For PC Laptop Desktop Computer,,Controllers,4.6,6200
Mtk High Quality 10.1 Inch Android 6.0 Netbook Computer Laptop,Mtk,Laptops,4.1,54999
MOVFA 64GB Ultra OTG Micro Tapy-c Lightning USB 4 In 1 Flash Drive,MOVFA,USB Flash Drives,4.5,6300
Gm CZ61 High Speed USB Flash Drive PenDrive - 32GB,Gm,USB Flash Drives,4.5,2790
Blazen 32GB Flash Drive USB 3.0 Storage + Free LED Watch - Black,Blazen,USB Flash Drives,3.9,2975
Hikvision 32GB Memory - C1 Consumer Class Micro SD Card,Hikvision,Internal Memory Card Readers,3.5,2250
"ZTE MTNg 4G LTE WiFi Router For Ntel,Airtel,Glo,9Mobile & Smile",ZTE,Networking Products,,19999
Dolphin Wills Rechargeable Wireless Mouse - Works For Both Hands,Dolphin Wills,Mice,4.5,3720
Sada V-108 Speaker Bar Computer Speakers Stereo HiFi Sound Wired,Sada,Computer Speakers,,3999
Hp 123 Tri Colour Ink Cartridge - F6V16AE,Hp,Printer Ink & Toner,4.3,7320
Gm Ultra Dual M3.0 OTG Flash Drive 32GB,Gm,USB Flash Drives,4.9,2700
Gaming Mouse Wired RGB Ergonomic Game Mouse,,Mice,3.9,2119
EastVita 2.4G Wireless Game Controller Joystick Gamepad With Micro USB OTG Converter Adapter For Android TV Box For PC PS3,,Gamepads & Standard Controllers,4,3029
Airtel 4G LTE MiFi WiFi Internet Router HotSpot,Airtel,Networking Products,4,13900
"Hp 15 Intel Pentium Silver (1TB HDD, 8GB RAM,Windows 10 Black",Hp,Laptops,,185000
4Ports 3.0 Usb Hub USB Adapters 30cm,,USB-to-USB Adapters,4.5,2700
Samsung 32GB Pendrive Flash Drive USB 3.0,Samsung,USB Flash Drives,4.5,1999
Goojprt 58MM Bluetooth Thermal Printer Portable Receipt Machine-Light Blue,Goojprt,Label Printers,4.2,14299
SanDisk 128GB Ultra Dual USB Type-C OTG  (SDDDC2-128G-G46),SanDisk,USB Flash Drives,4.6,9900
Hp Deskjet 2548 Wireless All-in-One Printer (Print + Scan + Copy) With HP Cable Inside,Hp,Inkjet Printers,4.5,16000
MOVFA 32GB Ultra OTG Micro Tapy-c Lightning USB 4 In 1 Flash Drive,MOVFA,USB Flash Drives,4.2,4500
320GB Backup  Slim  External Hard Drive,,External Hard Drives,3.8,8669
"Life Saving Unisex Blue Light Blocking Glasses For Computer Users,Anti Eyestrain UV Filter Lens",,Monitor Accessories,4.5,2700
Heavy Medium Gaming Mouse Pad - Black,,Mouse Pads,5,2400
T-20 Mouse Wired Vertical Mouse Ergonomic Rechargeable,,Mice,5,3990
Samsung Hard Disk SATA Case - 2.5inch - Black,Samsung,External Hard Drives,4.5,2490
Hp Deskjet Ink Advantage 3835-All In One Printer - F5R96C WITH USB CABLE ,Hp,Inkjet Printers,4.1,38698
Asus Mini Intel Celeron (4GB RAM 500GB HDD )Windows 10 11.6" Petal Pink,Asus,Netbooks,5,145000
