links,product_name,product_brand,product_type,product_rating,product_price,image_link
/ox-18-industrial-wall-fan-18-inches-42629455.html,Ox 18'' Industrial Wall Fan - 18 Inches,Ox,Wall-Mounted Fans,4,"₦ 21,499",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/55/492624/1.jpg?0623
/generic-adjustable-cake-scraper-fondant-spatulas-cake-edge-smoother-bakeware-cake-tool-64221958.html,Adjustable Cake Scraper Fondant Spatulas Cake Edge Smoother Bakeware Cake Tool,,Cake & Cupcake Toppers,,₦ 530,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/85/912246/1.jpg?5170
/generic-12-pieces-unbreakable-ceramic-bowl-and-flat-curved-plates-67612167.html,,,Dining & Entertaining,,,
/generic-3l-stainless-electric-yam-pounding-machine-4-blades-63235354.html,"3L Stainless Electric Yam Pounding Machine,   ( 4 Blades)",,Yam Pounder,3,"₦ 20,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/45/353236/1.jpg?5983
/generic-portable-projector-3d-full-hd-mini-led-projectors-cinema-1080p-usb-44169866.html,Portable Projector 3D Full HD Mini LED Projectors Cinema 1080P USB,,Electronic Organizers,3.5,"₦ 15,490",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/66/896144/1.jpg?8321
/generic-stainless-steel-tissue-holder-stand-57422832.html,Stainless Steel Tissue Holder/ Stand,,Toilet Paper Holders,5,"₦ 2,999",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/23/822475/1.jpg?3613
/pot-pourri-3fragrance-oil-bowl-generic-mpg344100.html,Pot Pourri + 3Fragrance Oil + Bowl,,Artificial Flowers,3.7,"₦ 5,225",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/77/376563/1.jpg?3563
/power-bank-16800mah-safeefficientfashion-3-usb-output-for-smart-phones-tenfly-mpg258906.html,TENFLY Power Bank 16800mAh 3 USB OUTPUT For Smart Phones,TENFLY,Other Small Appliances,3.6,"₦ 3,099",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/50/181222/1.jpg?5213
/generic-motion-sensor-light-smart-indoor-light-wireless-64719687.html,"Motion Sensor Light,  Smart Indoor Light - Wireless",,LED Bulbs,5,"₦ 3,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/78/691746/1.jpg?1849
/generic-stainless-steel-whistling-kettle-4.0-litre-43034453.html,Stainless Steel Whistling Kettle - 4.0 Litre,,Kettles,3.7,"₦ 5,400",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/35/443034/1.jpg?4384
/generic-39.4-x-19.7details-about-modern-wall-canvas-picture-print-decor-42514933.html,"39.4"" X 19.7""Details About Modern Wall Canvas Picture Print Decor",,Paintings,4.8,"₦ 1,077",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/33/941524/1.jpg?4555
/generic-50cm-double-layer-alumimum-towel-bar-rack-holder-hanger-bathroom-storage-shelf-wall-mounted-50cm-double-layer-66145280.html,50cm Double Layer Alumimum Towel Bar Rack Holder Hanger Bathroom Storage Shelf Wall Mounted-50cm Double Layer,,Bedding Accessories,,"₦ 3,899",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/08/254166/1.jpg?7439
/christmas-lights-multi-function-100-led-light-multi-colour-44080546.html,Christmas Lights Multi Function 100 Led Light - Multi Colour,Christmas Lights,Seasonal Lighting,,"₦ 2,430",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/64/508044/1.jpg?0924
/generic-3pcs-fondant-cake-printing-mold-cookie-cutting-cutter-tool-creative-supplies-64195613.html,3PCS Fondant Cake Printing Mold Cookie Cutting Cutter Tool Creative Supplies,,Cake & Cupcake Toppers,,₦ 240,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/31/659146/1.jpg?1396
/generic-4.8v-electric-screwdriver-rechargeable-cordless-drill-power-tools-with-bits-52911055.html,4.8V Electric Screwdriver Rechargeable Cordless Drill Power Tools With Bits,,Power Screwdrivers,,"₦ 5,894",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/55/011925/1.jpg?2594
/100-music-lights-with-music-device-multi-colour-christmas-lights-mpg1544702.html,Christmas Lights 100 MUSIC LIGHTS WITH MUSIC DEVICE - Multi Colour,Christmas Lights,Seasonal Lighting,5,"₦ 2,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/55/832144/1.jpg?8877
/generic-mini-portable-refrigerator-fridge-freezer-cooler-warmer-7.5l-58034932.html,Mini Portable Refrigerator Fridge Freezer Cooler Warmer 7.5L,,Beverage Refrigerators,,"₦ 13,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/23/943085/1.jpg?6308
/generic-electric-cooker-double-burner-16846034.html,ELECTRIC COOKER DOUBLE BURNER,,Electric,4.3,"₦ 9,900",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/43/064861/1.jpg?4347
/master-chef-4-in-1-blenderjuice-extractor-grinder-with-mill-44499833.html,"Master Chef 4 In 1 Blender,Juice Extractor, Grinder With Mill",Master Chef,Juicers,4.4,"₦ 16,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/33/899444/1.jpg?8816
